Company,Store Type,Address,City,State,Zip Code,PhoneNumber,Latitude,Longitude
Walmart,FedEx Pickup Location,31 Colma Blvd,Colma,CA,94014,(650) 756-5791,37.67694175,-122.46852166
Walmart,FedEx Pickup Location,3600 S El Camino Real,San Mateo,CA,94403,(650) 525-0215,37.5347023,-122.29549407
Walmart,FedEx Pickup Location,30900 Dyer St,Union City,CA,94587,(510) 324-8911,37.60241121,-122.06964164
Walmart,FedEx Pickup Location,26761 Rancho Pkwy,Lake Forest,CA,92630,(949) 586-9095,33.672176,-117.665046
Walmart,FedEx Pickup Location,7270 Bollinger Ave,San Jose,CA,95129,(408) 873-8209,37.31217193,-122.03177642
Walmart,FedEx Pickup Location,3435 Del Mar Heights Rd Ste D1,San Diego,CA,92130,(858) 792-1442,32.95412421,-117.2329355
Walmart,FedEx Pickup Location,1 Camino Sobrante,Orinda,CA,94563,(925) 258-9243,37.88422393,-122.19184112
Walmart,FedEx Pickup Location,4000 Atlantic Ave,Long Beach,CA,90807,(562) 426-3028,33.83094772,-118.18491585
Walmart,FedEx Pickup Location,1367 N. McDowell,Petaluma,CA,94954,(707) 789-0712,38.27349472,-122.66634368
Walmart,FedEx Pickup Location,365 Broadway,Millbrae,CA,94030,(650) 777-1200,37.6012268,-122.39261627
Walmart,FedEx Pickup Location,598 E El Camino Real,Sunnyvale,CA,94087,(408) 530-0111,37.36143875,-122.02554321
Walmart,FedEx Pickup Location,8251 Bruceville Rd,Sacramento,CA,95823,(916) 682-8188,38.45849227,-121.41667938
Walmart,FedEx Pickup Location,7510 HAZARD CENTER DR,San Diego,CA,92108,(619) 294-3877,32.77034863,-117.15867519
Walmart,FedEx Pickup Location,965 Moraga Rd,Lafayette,CA,94549,(925) 284-8484,37.89070978,-122.11858861
Walmart,FedEx Pickup Location,1770 S Pacific Coast Hwy,Redondo Beach,CA,90277,(310) 792-8635,33.81765699,-118.38075999
Walmart,FedEx Pickup Location,5895 Christie Ave,Emeryville,CA,94608,(510) 594-9800,37.83982492,-122.29492105
Walmart,FedEx Pickup Location,171 Jamacha Rd,El Cajon,CA,92019,(619) 593-3663,32.79418677,-116.93545706
Walmart,FedEx Pickup Location,2155 Town Center Plaza,West Sacramento,CA,95691,(916) 617-2495,38.55009064,-121.53517529
Walmart,FedEx Pickup Location,3609 MIDWAY DR,San Diego,CA,92110,(619) 523-2900,32.75275039,-117.21714019
Walmart,FedEx Pickup Location,2170 Main Street,Oakley,CA,94561,(925) 679-0615,38.00297546,-121.73165893
Walmart,FedEx Pickup Location,13413 Poway Rd,Poway,CA,92064,(858) 679-3600,32.95507431,-117.04035186
Walmart,FedEx Pickup Location,22308 Foothill Blvd,Hayward,CA,94541,(510) 733-6538,37.67883673,-122.08414234
Walmart,FedEx Pickup Location,975 The Alameda,San Jose,CA,95126,(408) 971-2409,37.33200073,-121.90885162
Walmart,FedEx Pickup Location,1909 Mt Diablo Blvd,Walnut Creek,CA,94596,(925) 934-8254,37.897033,-122.06597899
Walmart,FedEx Pickup Location,840 Childs Way,Los Angeles,CA,90089,(213) 746-4234,34.01936553,-118.2831712
Walmart,FedEx Pickup Location,2799 E THOUSAND OAKS BLVD,Thousand Oaks,CA,91362,(805) 379-1552,34.17241668,-118.83826446
Walmart,FedEx Pickup Location,2201 Shattuck Ave,Berkeley,CA,94704,(510) 204-0775,37.86932185,-122.26780861
Walmart,FedEx Pickup Location,393 Arneill Rd,Camarillo,CA,93010,(805) 482-3364,34.22071075,-119.03926086
Walmart,FedEx Pickup Location,777 GRAND AVE,San Rafael,CA,94901,(415) 453-5494,37.969852,-122.51945399
Walmart,FedEx Pickup Location,5045 Cornell Rd,Agoura Hills,CA,91301,(818) 879-0250,34.14408154,-118.75584147
Walmart,FedEx Pickup Location,1801 SUTTER ST,Concord,CA,94520,(925) 825-1224,37.97333526,-122.03836822
Walmart,FedEx Pickup Location,20660 Homestead Rd,Cupertino,CA,95014,(408) 777-1000,37.33658599,-122.03485107
Walmart,FedEx Pickup Location,9000 Tampa Ave,Northridge,CA,91324,(818) 701-0362,38.73924255,-120.80516052
Walmart,FedEx Pickup Location,24125 MAGIC MOUNTAIN PKWY,Santa Clarita,CA,91355,(661) 254-1097,34.41816307,-118.55673037
Walmart,FedEx Pickup Location,1902 5810 Sepulveda Blvd,Van Nuys,CA,91411,(818) 780-2123,34.18330001,-118.43299865
Walmart,FedEx Pickup Location,24949 W Pico Canyon Rd,Stevenson Ranch,CA,91381,(661) 255-3224,34.382049,-118.572738
Walmart,FedEx Pickup Location,10725 Zelzah Ave,Granada Hills,CA,91344,(818) 366-3761,34.26527246,-118.52347768
Walmart,FedEx Pickup Location,901 E Washington St,Petaluma,CA,94952,(707) 763-6553,38.245018,-122.63062286
Walmart,FedEx Pickup Location,6070 Johnson Dr,Pleasanton,CA,94588,(925) 416-0494,37.70120501,-121.91054172
Walmart,FedEx Pickup Location,2101 CAMINO RAMON,San Ramon,CA,94583,(925) 277-1478,37.78070449,-121.96922302
Walmart,FedEx Pickup Location,1201 Marina Blvd,San Leandro,CA,94577,(510) 357-8050,37.71198615,-122.16265663
Walmart,FedEx Pickup Location,1935 W El Camino Real,Mountain View,CA,94040,(650) 964-4701,37.39330999,-122.097953
Walmart,FedEx Pickup Location,3755 Murphy Canyon Rd,San Diego,CA,92123,(858) 573-0515,32.81064987,-117.11611175
Walmart,FedEx Pickup Location,7948 Herschel Ave,La Jolla,CA,92037,(858) 459-3043,32.84758699,-117.27372699
Walmart,FedEx Pickup Location,15545 Los Gatos Blvd,Los Gatos,CA,95032,(408) 356-2275,37.24352264,-121.96047973
Walmart,FedEx Pickup Location,25 STANYAN ST,San Francisco,CA,94118,(415) 750-1193,37.78098195,-122.45628677
Walmart,FedEx Pickup Location,2199 Monterey Rd,San Jose,CA,95125,(408) 998-1652,37.3036614,-121.86143986
Walmart,FedEx Pickup Location,30102 SANTA MARGARITA PKWY,Rancho Santa Margarita,CA,92688,(949) 635-4900,33.64105987,-117.60417175
Walmart,FedEx Pickup Location,3225 FILLMORE ST,San Francisco,CA,94123,(415) 441-2995,37.79925918,-122.43618774
Walmart,FedEx Pickup Location,234 Northgate One,San Rafael,CA,94903,(415) 491-0343,38.00756625,-122.54577465
Walmart,FedEx Pickup Location,2400 Bridgeway,Sausalito,CA,94965,(415) 331-2093,37.86650848,-122.50010681
Walmart,FedEx Pickup Location,93 E San Carlos St,San Jose,CA,95112,(408) 295-4336,37.33249045,-121.88528269
Walmart,FedEx Pickup Location,5454 SUNRISE BLVD,Citrus Heights,CA,95610,(916) 961-0261,38.66663664,-121.27200633
Walmart,FedEx Pickup Location,830 Blossom Hill Rd,San Jose,CA,95123,(408) 362-4400,37.24867248,-121.85601043
Walmart,FedEx Pickup Location,5253 Prospect Rd,San Jose,CA,95129,(408) 252-7821,37.29347229,-121.99449157
Walmart,FedEx Pickup Location,10 E HAMILTON AVE,Campbell,CA,95008,(408) 379-4454,37.29413487,-121.94959335
Walmart,FedEx Pickup Location,460 FAIR OAKS AVE,South Pasadena,CA,91030,(626) 403-6690,34.11997184,-118.15025299
Walmart,FedEx Pickup Location,250 E OLIVE AVE,Burbank,CA,91502,(818) 558-3900,34.18145751,-118.30760192
Walmart,FedEx Pickup Location,3161 Mission College Blvd,Santa Clara,CA,95054,(408) 982-9600,37.38919448,-121.98339843
Walmart,FedEx Pickup Location,31886 DEL OBISPO ST,San Juan Capistrano,CA,92675,(949) 487-2679,33.49799841,-117.66157396
Walmart,FedEx Pickup Location,23305 Mulholland Dr,Woodland Hills,CA,91364,(818) 222-1305,34.15641367,-118.63438501
Walmart,FedEx Pickup Location,8642 E. Whittier Blvd,Pico Rivera,CA,90660,(562) 942-1953,34.00838851,-118.10030364
Walmart,FedEx Pickup Location,1712 Oakland Rd,San Jose,CA,95131,(408) 452-7777,37.38379287,-121.89536285
Walmart,FedEx Pickup Location,5301 Lakewood Blvd,Lakewood,CA,90712,(562) 531-9800,33.8540802,-118.14285278
Walmart,FedEx Pickup Location,750 Atlantic Ave,Alameda,CA,94501,(510) 769-9446,37.77967639,-122.27564871
Walmart,FedEx Pickup Location,369 Pine St,San Francisco,CA,94104,(415) 834-1053,37.79172134,-122.40198516
Walmart,FedEx Pickup Location,4001 Freeport Blvd,Sacramento,CA,95822,(916) 452-5169,38.53790283,-121.49240875
Walmart,FedEx Pickup Location,1000 White Rock Rd,El Dorado Hills,CA,95762,(916) 941-9250,38.64656829,-121.06738281
Walmart,FedEx Pickup Location,121 E 4TH AVE,San Mateo,CA,94401,(650) 347-3861,37.56398773,-122.32317352
Walmart,FedEx Pickup Location,7630 Sunset Blvd,Los Angeles,CA,90046,(323) 845-4501,34.09800119,-118.35567668
Walmart,FedEx Pickup Location,9334 Wilshire Blvd,Beverly Hills,CA,90212,(310) 271-1258,34.06669899,-118.39514099
Walmart,FedEx Pickup Location,4187 CAMPUS DR STE,Irvine,CA,92612,(949) 854-7557,33.64926896,-117.83964447
Walmart,FedEx Pickup Location,230 NEWPORT CENTER DR,Newport Beach,CA,92660,(949) 760-1595,33.6115036,-117.87397766
Walmart,FedEx Pickup Location,3636 BIRCH ST,Newport Beach,CA,92660,(949) 261-5290,33.66212479,-117.87225075
Walmart,FedEx Pickup Location,3992 BARRANCA PKWY,Irvine,CA,92606,(949) 552-1717,33.68365859,-117.80929565
Walmart,FedEx Pickup Location,25800 JERONIMO RD,Mission Viejo,CA,92691,(949) 768-2679,33.61704635,-117.67983245
Walmart,FedEx Pickup Location,1520 Westwood Blvd,Los Angeles,CA,90024,(310) 475-0789,34.05362471,-118.44025276
Walmart,FedEx Pickup Location,4556 Van Nuys Blvd,Sherman Oaks,CA,91403,(818) 906-2679,34.15435507,-118.44864539
Walmart,FedEx Pickup Location,5304 Jackson Dr,La Mesa,CA,91942,(619) 461-9511,32.77571487,-117.01451873
Walmart,FedEx Pickup Location,5575 S Sepulveda Blvd,Culver City,CA,90230,(310) 313-2578,33.97428894,-118.39447784
Walmart,FedEx Pickup Location,6700 Lonetree Blvd,Rocklin,CA,95765,(916) 773-4420,38.79661178,-121.29266357
Walmart,FedEx Pickup Location,27221 La Paz Rd,Laguna Niguel,CA,92677,(949) 362-1900,33.56881879,-117.70777501
Walmart,FedEx Pickup Location,150 Nut Tree Pkwy,Vacaville,CA,95687,(707) 469-8555,38.36668722,-121.95925801
Walmart,FedEx Pickup Location,12059 E Imperial Hwy,Norwalk,CA,90650,(562) 406-3985,33.91743799,-118.07508799
Walmart,FedEx Pickup Location,10770 Westview Pkwy,San Diego,CA,92126,(858) 537-3440,32.91666314,-117.12054893
Walmart,FedEx Pickup Location,10924 Weyburn Ave,Los Angeles,CA,90024,(310) 443-5501,34.06233215,-118.4462738
Walmart,FedEx Pickup Location,11868 Rancho Bernardo Rd,San Diego,CA,92128,(858) 618-1303,33.02297785,-117.07515925
Walmart,FedEx Pickup Location,734 University Ave,San Diego,CA,92103,(619) 681-0575,32.74861907,-117.15774536
Walmart,FedEx Pickup Location,257 W Calaveras Blvd,Milpitas,CA,95035,(408) 946-2500,37.42794418,-121.91117095
Walmart,FedEx Pickup Location,5375 Napa St,San Diego,CA,92110,(619) 293-0201,32.76485614,-117.19653055
Walmart,FedEx Pickup Location,4425 Convoy St,San Diego,CA,92111,(858) 560-8514,32.82071113,-117.15501196
Walmart,FedEx Pickup Location,444 N Harbor Blvd,Fullerton,CA,92832,(714) 992-2660,33.87364196,-117.92389678
Walmart,FedEx Pickup Location,2380 Monument Blvd,Pleasant Hill,CA,94523,(925) 798-0496,37.94478199,-122.056617
Walmart,FedEx Pickup Location,1835 Newport Blvd,Costa Mesa,CA,92627,(949) 642-3758,33.64247131,-117.92012023
Walmart,FedEx Pickup Location,22972 MOULTON PKWY,Laguna Hills,CA,92653,(949) 458-2139,33.6287789,-117.7299723
Walmart,FedEx Pickup Location,181 S Central Ave,Los Angeles,CA,90012,(213) 617-0710,34.04804103,-118.23937207
Walmart,FedEx Pickup Location,750 Stony Point Rd,Santa Rosa,CA,95407,(707) 544-2740,38.4283445,-122.74143643
Walmart,FedEx Pickup Location,18218 Gale Ave,City of Industry,CA,91748,(626) 810-4140,33.99537853,-117.90673121
Walmart,FedEx Pickup Location,1149 S Hill ST STE h-150,Los Angeles,CA,90015,(213) 746-6054,34.03946685,-118.2613449
Walmart,FedEx Pickup Location,1542 E Los Angeles Ave,Simi Valley,CA,93065,(805) 581-9609,34.27120208,-118.76870727
Walmart,FedEx Pickup Location,1520 Westwood Blvd #1522,Los Angeles,CA,90024,(310) 470-0891,34.05362471,-118.44025276
Walmart,FedEx Pickup Location,5581 Auto Mall Parkway,Fremont,CA,94538,(510) 656-1091,37.50462524,-121.97446145
Walmart,FedEx Pickup Location,855 E Colorado Blvd,Pasadena,CA,91101,(626) 793-6336,34.14626693,-118.1328125
Walmart,FedEx Pickup Location,662 E 1ST ST,Tustin,CA,92780,(714) 544-7501,33.74534988,-117.81612396
Walmart,FedEx Pickup Location,1440 Vine St,Los Angeles,CA,90028,(323) 871-1300,34.09682437,-118.32658544
Walmart,FedEx Pickup Location,1795 Arden Way,Sacramento,CA,95815,(916) 649-2900,38.59816253,-121.42387434
Walmart,FedEx Pickup Location,935 W Huntington Dr,Monrovia,CA,91016,(626) 357-7267,34.14030499,-118.01965489
Walmart,FedEx Pickup Location,1615 E Imperial Hwy,Brea,CA,92821,(714) 990-9525,33.91086548,-117.88130253
Walmart,FedEx Pickup Location,5645 E LA PALMA AVE,Anaheim,CA,92807,(714) 970-0722,33.85990217,-117.79236517
Walmart,FedEx Pickup Location,50 CENTERPOINTE DR,La Palma,CA,90623,(714) 562-9181,33.85926437,-118.03159332
Walmart,FedEx Pickup Location,2125 Foothill Blvd,La Canada,CA,91011,(818) 957-2679,34.216152,-118.223854
Walmart,FedEx Pickup Location,960 N Mountain Ave,Upland,CA,91786,(909) 981-9850,34.10593,-117.669792
Walmart,FedEx Pickup Location,225 N Brand Blvd,Glendale,CA,91203,(818) 500-1811,34.1489987,-118.25514279
Walmart,FedEx Pickup Location,3701 S Bristol St,Santa Ana,CA,92704,(714) 957-1652,33.69789886,-117.88483428
Walmart,FedEx Pickup Location,4100 Riverside Dr,Burbank,CA,91505,(818) 567-1044,34.15164947,-118.34416198
Walmart,FedEx Pickup Location,231 Avenida Del Mar,San Clemente,CA,92672,(949) 498-5540,33.424602,-117.616539
Walmart,FedEx Pickup Location,12223 Central Ave,Chino,CA,91710,(909) 902-0024,34.03189346,-117.6893194
Walmart,FedEx Pickup Location,19674 Beach Blvd,Huntington Beach,CA,92648,(714) 963-7606,33.67721825,-117.98846885
Walmart,FedEx Pickup Location,9216 Flair Dr,El Monte,CA,91731,(626) 307-7164,34.07183893,-118.06756652
Walmart,FedEx Pickup Location,1303 E Katella Ave,Orange,CA,92867,(714) 289-1300,33.80921646,-117.83958613
Walmart,FedEx Pickup Location,8539 W Sunset Blvd,West Hollywood,CA,90069,(310) 289-5129,34.09373,-118.377853
Walmart,FedEx Pickup Location,23 S Hope Ave,Santa Barbara,CA,93105,(805) 569-5100,34.4391365,-119.74630737
Walmart,FedEx Pickup Location,555 E Ocean Blvd,Long Beach,CA,90802,(562) 495-5767,33.76691436,-118.18569183
Walmart,FedEx Pickup Location,16425 Ventura Blvd,Encino,CA,91436,(818) 788-4243,34.1574262,-118.49107593
Walmart,FedEx Pickup Location,23325 Hawthorne Blvd,Torrance,CA,90505,(310) 373-2530,33.81458663,-118.35171508
Walmart,FedEx Pickup Location,2180 S Atlantic Blvd,Monterey Park,CA,91754,(323) 728-9940,34.03844408,-118.14485773
Walmart,FedEx Pickup Location,16330 WHITTIER BLVD,Whittier,CA,90603,(562) 902-1175,33.93964767,-117.98221588
Walmart,FedEx Pickup Location,2787 N Main St,Santa Ana,CA,92705,(714) 571-0108,33.77434037,-117.86719076
Walmart,FedEx Pickup Location,8616 Firestone Blvd,Downey,CA,90241,(562) 862-6683,33.9369104,-118.12696203
Walmart,FedEx Pickup Location,5500 Wilshire Blvd,Los Angeles,CA,90036,(323) 937-0126,34.0617218,-118.34905242
Walmart,FedEx Pickup Location,28901 S WESTERN AVE,Rancho Palos Verdes,CA,90275,(310) 221-0380,33.75682756,-118.31076845
Walmart,FedEx Pickup Location,3810 Truxel Rd,Sacramento,CA,95834,(916) 515-1306,38.63882446,-121.50551605
Walmart,FedEx Pickup Location,585 Kearny St,San Francisco,CA,94108,(415) 986-3942,37.7933637,-122.40459389
Walmart,FedEx Pickup Location,2350 E Vineyard Ave,Oxnard,CA,93036,(805) 983-6006,34.22826468,-119.17575806
Walmart,FedEx Pickup Location,1735 E Colorado Blvd,Pasadena,CA,91106,(626) 578-9201,34.14605297,-118.1146755
Walmart,FedEx Pickup Location,111 S Westlake Blvd,Westlake Village,CA,91362,(805) 496-7413,34.13478088,-118.8514862
Walmart,FedEx Pickup Location,601 Wilshire Blvd,Santa Monica,CA,90401,(310) 576-7710,34.02101516,-118.49642944
Walmart,FedEx Pickup Location,2139 S Bundy Dr,Los Angeles,CA,90064,(310) 826-8122,34.03181838,-118.45411682
Walmart,FedEx Pickup Location,11819 Wilshire Blvd,Los Angeles,CA,90025,(310) 477-7756,34.04787205,-118.46300326
Walmart,FedEx Pickup Location,23600 Rockfield Blvd,Lake Forest,CA,92630,(949) 581-3830,33.63053373,-117.71817192
Walmart,FedEx Pickup Location,214 Francisco Lane,Fremont,CA,94539,(510) 770-1158,37.49059595,-121.92717745
Walmart,FedEx Pickup Location,8950 W Olympic Blvd,Beverly Hills,CA,90211,(310) 285-9591,34.05907058,-118.38721466
Walmart,FedEx Pickup Location,9680 Santa Monica Blvd,Beverly Hills,CA,90210,(310) 859-2381,34.06879864,-118.40691223
Walmart,FedEx Pickup Location,2711 S Rose Ave,Oxnard,CA,93033,(805) 483-4850,34.1744294,-119.16021399
Walmart,FedEx Pickup Location,10061 S De Anza Blvd,Cupertino,CA,95014,(408) 253-4568,37.32195273,-122.03245215
Walmart,FedEx Pickup Location,1925 Century Park E,Century City,CA,90067,(310) 203-9928,34.06087003,-118.41409921
Walmart,FedEx Pickup Location,3817 Riverside Drive,Burbank,CA,91505,(818) 569-4914,34.15265992,-118.34103986
Walmart,FedEx Pickup Location,520 Lawrence Expy,Sunnyvale,CA,94085,(408) 733-0896,37.38287353,-121.99508666
Walmart,FedEx Pickup Location,71 Spear St,San Francisco,CA,94105,(415) 543-5751,37.79297277,-122.39456109
Walmart,FedEx Pickup Location,6255 W SUNSET BLVD,HOLLYWOOD,CA,90028,(323) 465-3305,34.09859,-118.32557599
Walmart,FedEx Pickup Location,705 Veterans Blvd,Redwood City,CA,94063,(650) 364-9892,37.49140167,-122.22982025
Walmart,FedEx Pickup Location,3000 El Camino Real,Palo Alto,CA,94306,(650) 493-2120,37.42118453,-122.14149475
Walmart,FedEx Pickup Location,3167 College Ave,Berkeley,CA,94705,(510) 597-1624,37.85165786,-122.25228118
Walmart,FedEx Pickup Location,3575 Cahuenga Blvd W,Los Angeles,CA,90068,(323) 876-3481,34.13362884,-118.35842895
Walmart,FedEx Pickup Location,330 S HOPE ST,Los Angeles,CA,90071,(213) 620-8615,34.05335649,-118.25259335
Walmart,FedEx Pickup Location,724 Battery St,San Francisco,CA,94111,(415) 986-1045,37.79808425,-122.40058898
Walmart,FedEx Pickup Location,554 S GRAND AVE,Los Angeles,CA,90071,(213) 623-8129,34.04929094,-118.2547076
Walmart,FedEx Pickup Location,555 California St,San Francisco,CA,94104,(415) 986-6160,37.79257583,-122.40384674
Walmart,FedEx Pickup Location,110 E 9th St,Los Angeles,CA,90079,(213) 623-3614,34.04128186,-118.25479343
Walmart,FedEx Pickup Location,120 Bush St,San Francisco,CA,94104,(415) 986-3238,37.79137954,-122.39972434
Walmart,FedEx Pickup Location,735 S FIGUEROA ST,Los Angeles,CA,90017,(213) 624-9409,34.04889866,-118.26043076
